Ibuk ID;Tytuł;Autor;ISBN;Wydawnictwo;Rok wydania;Kategoria;Podkategoria;Link do książki 
2419;Anoreksja od A do Z;Beata Ziółkowska;83-7383-115-0;Wydawnictwo Naukowe Scholar;2005;Nauki społeczne;Psychologia;Czytaj
1157;Antropologia kulturowa, cz. 2;Janusz Gajda;978-83-7308-949-5;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Socjologia;Czytaj
41111;Antropomotoryka. Teoria motoryczności człowieka w zarysie;Joachim Raczek;978-83-200-3845-3;Wydawnictwo Lekarskie PZWL;2010;Sport;-;Czytaj
61334;Anty-teoria literatury;Anna Burzyńska;978-83-242-1114-2;Universitas;2006;Nauki humanistyczne;Filologia polska;Czytaj
44821;Apartament 23;Marek Wróbel;978-83-7859-123-8;Wydawnictwo e-bookowo;2013;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
41776;Archetyp ofiary w literaturze polskiego romantyzmu;Miłosz Kłobukowski;978-83-231-2854-0;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2012;Nauki humanistyczne;Filologia polska;Czytaj
61403;Architektura słowa i inne szkice o Norwidzie;Henryk Siewierski;978-83-242-1869-1;Universitas;2012;Nauki humanistyczne;Filologia polska;Czytaj
45384;Archiwalia izb przemysłowo-handlowych. Stan i perspektywy badań;Wojciech Chudzik, Karol Dąbrowski, Piotr Janus, Redakcja: Karol Dąbrowski;978-83-933847-1-6;Fundacja Obywatelskiego Rozwoju Ryki;2012;Publikacje darmowe;-;Czytaj
27895;Arcy-nie-ludzkie. Przez science fiction do antropologii cyborgów;Grażyna Gajewska;978-83-232-2141-8;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
40793;Arystokracja. Polskie rody;Marcin K. Schirmer;978-83-01-16955-8;Dom Wydawniczy PWN Sp. z o.o.;2012;Nauki humanistyczne;Historia;Czytaj
43107;Auschwitz Obóz i miasto;Sybille Steinbacher;978-83-01-17054-7;Wydawnictwo Naukowe PWN;2012;Nauki humanistyczne;Historia;Czytaj
43514;Auschwitz w Internecie. Przedstawienia Holokaustu w kulturze popularnej;Marek Kaźmierczak;978-83-232-2381-8;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2012;Nauki humanistyczne;Historia;Czytaj
43418;AutoCAD 2013/LT2013/WS+. Kurs projektowania parametrycznego i nieparametrycznego 2D i 3D;Andrzej Jaskulski;978-83-01-17040-0;Wydawnictwo Naukowe PWN;2012;Informatyka;CAD/CAM;Czytaj
64105;Automatyka Podstawy teorii;Andrzej Dębowski;978-83-63623-88-3;Wydawnictwo WNT;2012;Nauki matematyczno-przyrodnicze;Technika;Czytaj
26672;Autyzm i zespół Aspergera;Anita Bryńska, Jadwiga Komender, Gabriela Jagielska;978-83-200-3812-5;Wydawnictwo Lekarskie PZWL;2009;Medycyna;Pediatria;Czytaj
62108;Aż do skończenia świata;Jadwiga Rochnowska;978-83-7859-144-3;Wydawnictwo e-bookowo;2013;Literatura kobieca;-;Czytaj
42564;Badania jakościowe t.1;Redakcja: Dariusz Jemielniak;978-83-01-16945-9;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Socjologia;Czytaj
42563;Badania jakościowe t.2;Redakcja: Dariusz Jemielniak;978-83-01-16946-6;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Socjologia;Czytaj
15;Badania marketingowe;Redakcja: Krystyna Mazurek-Łopacińska;83-01-14256-1;Wydawnictwo Naukowe PWN;2005;Nauki ekonomiczne;Marketing, reklama;Czytaj
41933;Badania marketingowe-metody, nowe podejścia i konteksty badawcze;Redakcja: Krystyna Mazurek-Łopacińska, Magdalena Sobocińska;978-83-7695-248-2;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Marketing, reklama;Czytaj
39899;Badania nad zastosowaniem elementów śpiewu klasycznego w rehabilitacji chorych z zaburzeniami głosu;Maria Izabela Mielnik;978-83-7587-893-6;Oficyna Wydawnicza IMPULS;2011;Nauki społeczne;Pedagogika;Czytaj
93961;Badanie ruchu kręgosłupa człowieka podczas chodu;Małgorzata Syczewska;978-83-917484-1-1;Wydawnictwo Instytut Pomnik-Centrum Zdrowia Dziecka;2013;Publikacje darmowe;-;Czytaj
13238;Bajka zwierzęca w tradycji ludowej i literackiej;Violetta Wróblewska, Redakcja: Adrian Mianecki;978-83-231-2628-7;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2011;Nauki humanistyczne;Filologia polska;Czytaj
1125;Bajki dla dyslektyków;Kamila Waleszkiewicz;978-83-7850-026-1;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
1143;Bajki rymowane w biblioterapii;Agnieszka Łaba;978-83-7850-017-9;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
40580;Bajkoterapia;Katarzyna Szeliga;978-83-7587-891-2;Oficyna Wydawnicza IMPULS;2008;Nauki społeczne;Pedagogika;Czytaj
45159;Bandyci Rodriguez;Łukasz Gołębiewski;978-83-62948-96-3;Biblioteka Analiz;2013;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
24;Bankowość europejska;Władysław Baka;83-01-14527-7;Wydawnictwo Naukowe PWN;2005;Nauki ekonomiczne;Finanse i bankowość;Czytaj
41994;Barbarzyńska Europa;Karol Modzelewski;978-83-244-0224-3;Iskry;2004;Nauki humanistyczne;Historia;Czytaj
67135;Benefit 6 2013;Redakcja: Praca zbiorowa;;Wydawnictwo e-bookowo;2013;Publikacje darmowe;-;Czytaj
67132;Benefit 7 2013;Redakcja: Praca zbiorowa;;Wydawnictwo e-bookowo;2013;Publikacje darmowe;-;Czytaj
4595;Bez zasłon - No curtain;Wojciech Malinowski;978-83-62480-48-7;Wydawnictwo e-bookowo;2010;Literatura piękna;Poezja;Czytaj
40502;Bezpieczeństwo ekonomiczne. Wyzwania dla zarządzania państwem;Konrad Raczkowski;978-83-264-4603-0;Wolters Kluwer Polska;2012;Nauki ekonomiczne;Gospodarka światowa;Czytaj
66862;Bezpieczeństwo i Technika Pożarnicza, Vol.27/3/2012;Praca zbiorowa, Redakcja: Praca zbiorowa;;Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. Józefa Tuliszkowskiego Państwowy Instytut Badawczy;2012;Publikacje darmowe;-;Czytaj
62143;Bezpieczeństwo i Technika Pożarnicza, Vol.28/4/2012;Redakcja: Praca zbiorowa;;Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. Józefa Tuliszkowskiego Państwowy Instytut Badawczy;2012;Publikacje darmowe;-;Czytaj
64564;Bezpieczeństwo i Technika Pożarnicza, Vol.29/1/2013;Redakcja: Praca zbiorowa;;Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. Józefa Tuliszkowskiego Państwowy Instytut Badawczy;2013;Publikacje darmowe;-;Czytaj
644;Bezpieczeństwo informacji i usług w nowoczesnej instytucji i firmie;Andrzej Białas;978-83-204-3343-2;Wydawnictwo WNT;2007;Informatyka;Bezpieczeństwo;Czytaj
42505;Bezpieczeństwo międzynarodowe;Jacek Czaputowicz;978-83-01-17113-1;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Nauki polityczne;Czytaj
43396;Bezpieczeństwo międzynarodowe;Przemysław Żurawski vel Grajewski;978-83-01-17204-6;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Nauki polityczne;Czytaj
1261;Bezpieczeństwo społeczności lokalnych;Andrzej Urban;978-83-60807-72-9;Łośgraf;2009;Prawo;Bezpieczeństwo wewnętrzne;Czytaj
42383;Bezpieczeństwo systemów informacyjnych;Franciszek Wołowski, Janusz Zawiła-Niedźwiecki, Redakcja: edu-Libri;978-83-63804-01-5;edu-Libri;2012;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
41502;Bezpieczeństwo teleinformatyczne państwa;Redakcja: Marek Madej, Marcin Terlikowski;978-83-89607-71-3;Polski Instytut Spraw Międzynarodowych;2009;Informatyka;Bezpieczeństwo;Czytaj
64394;Bezrobocie i odpowiedzialność;Sylwiusz Retowski;978-83-7383-574-0;Wydawnictwo Naukowe Scholar;2011;Nauki społeczne;Nauki polityczne;Czytaj
40877;Bezrobotni jako klienci i partnerzy powiatowych urzędów pracy;Kazimierz Bujak;978-83-233-2363-1;Wydawnictwo Uniwersytetu Jagiellońskiego;2007;Publikacje darmowe;-;Czytaj
41904;Białek i Żania Żaba;Marie Louise Rudolfsson;978-83-7544-523-7;Rea;2012;Literatura dla dzieci i młodzieży;-;Czytaj
1454;Biblioteki w literaturze polskiej;Krystyna Bednarska-Ruszajowa;978-83-233-2215-3;Wydawnictwo Uniwersytetu Jagiellońskiego;2006;Nauki humanistyczne;Filologia polska;Czytaj
914;Biblioterapia w praktyce;Ewelina Konieczna, Redakcja: Ewelina J. Konieczna;978-83-7587-751-9;Oficyna Wydawnicza IMPULS;2010;Nauki społeczne;Pedagogika;Czytaj
2304;Biochemia. Krótkie wykłady;David B. Hames, Nigel M. Hooper;978-83-01-16327-3;Wydawnictwo Naukowe PWN;2010;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
84;Biofizyka;Redakcja: Zofia Jóźwiak, Grzegorz Bartosz;978-83-01-14461-6;Wydawnictwo Naukowe PWN;2008;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
5607;Biologia molekularna. Krótkie wykłady;Phil C. Turner, Alexander G. McLennan, Andy D. Bates, Mike R.H. White;978-83-01-16567-3;Wydawnictwo Naukowe PWN;2011;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
43267;Biologia rozwoju. Krótkie wykłady;R.M. Twyman;978-83-01-14021-2;Wydawnictwo Naukowe PWN;2012;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
37878;Biomasa. Surowiec do syntez chemicznych i produkcji paliw;Bogdan Burczyk;978-83-7493-643-9;Oficyna Wydawnicza Politechniki Wrocławskiej;2011;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
38649;Biomechanika sportu. Krótkie wykłady;Paul Grimshaw, Adrian Lees, Neil Fowler, Adrian Burden;978-83-01-16415-7;Wydawnictwo Naukowe PWN;2010;Sport;-;Czytaj
1996;Biotechnologia ścieków;Redakcja: Korneliusz Miksch, Jan Sikora;978-83-01-16183-5;Wydawnictwo Naukowe PWN;2010;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
777;Biura podróży na rynku turystycznym;Anna Konieczna-Domańska;978-83-01-15669-5;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Usługi;Czytaj
39926;Blogowanie;Jill Walker Walker Rettberg;978-83-01-16932-9;Wydawnictwo Naukowe PWN;2012;Nauki społeczne;Socjologia;Czytaj
5190;Bolesław III Krzywousty;Karol Maleczyński;978-83-242-1416-7;Universitas;2010;Nauki humanistyczne;Historia;Czytaj
61508;Bolesław Śmiały-Szczodry i biskup Stanisław;Tadeusz Grudziński;978-83-242-1452-5;Universitas;2010;Nauki humanistyczne;Historia;Czytaj
64704;Brzechwa nie dla dzieci;Mariusz Urbanek;978-83-244-0320-2;Iskry;2013;Literatura faktu;-;Czytaj
5615;Budżet i polityka podatkowa. Wybrane zagadnienia.;Jerzy Żyżyński;978-83-01-15915-3;Wydawnictwo Naukowe PWN;2009;Nauki ekonomiczne;Finanse i bankowość;Czytaj
1275;Budżet ogólny Unii Europejskiej;Katarzyna Żukrowska;978-83-60501-84-9;Łośgraf;2009;Nauki ekonomiczne;Unia Europejska;Czytaj
13203;Can You Teach Better? Improving the Qualifications of Teachers and Trainers;Izabela Kołodziejczyk-Olczak;978-83-62916-22-1;SWSPiZ;2011;Publikacje darmowe;-;Czytaj
93618;Charakterystyka genotypowa i fenotypowa szczepów Staphylococcus aureus izolowanych od dzieci chorych na mukowiscydozę;Katarzyna Semczuk;978-83-917484-3-5;Wydawnictwo Instytut Pomnik-Centrum Zdrowia Dziecka;2013;Publikacje darmowe;-;Czytaj
315;Chemia leków. Krótkie wykłady;Graham Patrick;83-01-14337-1;Wydawnictwo Naukowe PWN;2004;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
314;Chemia nieorganiczna. Krótkie wykłady;P.A. Cox;978-83-01-13871-4;Wydawnictwo Naukowe PWN;2006;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
1797;Chemia organiczna, t. 1;Robert T. Morrison, Robert N. Boyd;978-83-01-04166-3;Wydawnictwo Naukowe PWN;2010;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
1796;Chemia organiczna, t. 2;Robert T. Morrison, Robert N. Boyd;978-83-01-04166-3;Wydawnictwo Naukowe PWN;2009;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
69276;Choroba Alzheimera;Tadeusz Parnowski;978-83-20-04597-0;Wydawnictwo Lekarskie PZWL;2013;Medycyna;Neurologia;Czytaj
40995;Choroby skóry;Anna Zalewska-Janowska, Honorata Błaszczyk;978-83-200-3760-9;Wydawnictwo Lekarskie PZWL;2008;Medycyna;Dermatologia;Czytaj
13197;Choroby układu nerwowego;Wojciech Kozubski, Paweł Liberski;83-200-2972-4;Wydawnictwo Lekarskie PZWL;2003;Medycyna;Neurologia;Czytaj
45434;Choroby wieku podeszłego;Tomasz Kostka;978-83-200-3762-3;Wydawnictwo Lekarskie PZWL;2009;Medycyna;Geriatria;Czytaj
43402;Ciało widowiskowe;Jean-Marie Pradier;978-83-01-17065-3;Wydawnictwo Naukowe PWN;2012;Nauki humanistyczne;Kultura i sztuka;Czytaj
4391;Ciemnooka;Dawid Glen;978-83-61184-75-1;Wydawnictwo e-bookowo;2010;Literatura piękna;Inne;Czytaj
42344;Ciotki;Anna Drzewiecka;978-83-7595-515-6;M;2012;Literatura faktu;-;Czytaj
45163;Co to znaczy być chrześcijaninem?;Albert N. Martin, Redakcja: Jarosław Jankowski;978-83-63837-30-3;Logos media;2013;Publikacje darmowe;-;Czytaj
39473;Co to znaczy...?;Izabela Mikrut, Justyna Stankowska;978-83-63080-90-7;Wydawnictwo e-bookowo;2012;Literatura dla dzieci i młodzieży;-;Czytaj
36815;Conrad i koniec epoki żaglowców;Wiesław Ratajczak;978-83-232-2202-6;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
2289;Copywriting internetowy;Maciej Dutko;978-83-01-16477-5;Wydawnictwo Naukowe PWN;2010;Informatyka;Internet;Czytaj
41678;Córka Węża Midgardu Saga Asgard;Wolfgang Hohlbein;978-83-63551-17-9;Telbit;2012;Literatura piękna;Fantastyka;Czytaj
42343;Córki Nipponu nie płaczą;Consilia Maria Lakotta;978-83-7595-403-6;M;2012;Literatura kobieca;-;Czytaj
18829;Cyfrowa przestrzeń biznesowa;Matt Mayewski;978-83-01-16684-7;Wydawnictwo Naukowe PWN;2011;Nauki ekonomiczne;E-biznes;Czytaj
758;Cyfrowa rewolucja;Piotr Gawrysiak;978-83-01-15607-7;Wydawnictwo Naukowe PWN;2008;Informatyka;Zastosowania informatyki;Czytaj
43512;Cyprian Norwid a tradycje szlacheckie;Zofia Dambek;978-83-232-2429-7;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2012;Nauki humanistyczne;Filologia polska;Czytaj
61359;Cytaty z życia i literatury;Lidia Burska;978-83-242-1872-1;Universitas;2012;Nauki humanistyczne;Filologia polska;Czytaj
3057;Czarna owca;Iwona Sobolewska;978-83-61184-83-6;Wydawnictwo e-bookowo;2010;Literatura dla dzieci i młodzieży;-;Czytaj
1100;Czarodziejski świat;Krystyna Bęczkowska;978-83-7587-124-1;Oficyna Wydawnicza IMPULS;2009;Inne;Literatura edukacyjna dla dzieci;Czytaj
759;Czas plemion;Michel Maffesoli;978-83-01-15566-7;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Socjologia;Czytaj
934;Czekam na bajkę;Elżbieta Śnieżkowska-Bielak, Redakcja: Elżbieta Śnieżkowska-Bielak;978-83-7587-755-7;Oficyna Wydawnicza IMPULS;2008;Inne;Literatura edukacyjna dla dzieci;Czytaj
1580;Człowiek - istota społeczna;Elliot Aronson;978-83-01-16145-3;Wydawnictwo Naukowe PWN;2009;Nauki społeczne;Psychologia;Czytaj
40863;Człowiek wśród ludzi. Zarys psychologii społecznej;Bogdan Wojciszke;978-83-7383-181-0;Wydawnictwo Naukowe Scholar;2009;Nauki społeczne;Psychologia;Czytaj
70030;Człowiek, wychowanie i praca w kapitalizmie. W stronę krytycznej pedagogiki pracy;Piotr Stańczyk;978-83-7865-096-6;Wydawnictwo Uniwersytetu Gdańskiego;2013;Publikacje darmowe;-;Czytaj
61354;Czytanie Brzozowskiego;Marta Wyka;978-83-242-1571-3;Universitas;2012;Nauki humanistyczne;Filologia polska;Czytaj
61332;Czytanie Irzykowskiego;Henryk Markiewicz;978-83-242-1510-2;Universitas;2011;Nauki humanistyczne;Filologia polska;Czytaj
41654;Ćmy i motyle;Monika Lipińska;978-83-62252-71-8;Telbit;2008;Literatura dla dzieci i młodzieży;-;Czytaj
249;Ćwiczenia z poetyki;Redakcja: Tomasz Mizerkiewicz, Agnieszka Gajewska;978-83-01-14808-9;Wydawnictwo Naukowe PWN;2006;Nauki humanistyczne;Filologia polska;Czytaj
2370;Ćwiczenia z retoryki;Redakcja: Maria Barłowska, Maria Załęska, Agnieszka Budzyńska-Daca;978-83-01-16423-2;Wydawnictwo Naukowe PWN;2010;Nauki społeczne;Retoryka;Czytaj
61344;Ćwiczenia z rozpaczy;Redakcja: Jerzy Jarzębski, Jakub Momro;978-83-242-1546-1;Universitas;2011;Nauki humanistyczne;Filologia polska;Czytaj
38714;Dar rzeki Fly;Maria Krüger;978-83-7568-951-8;Siedmioróg;2012;Literatura dla dzieci i młodzieży;-;Czytaj
65865;Dermatologia estetyczna;Leslie Baumann;978-83-200-4339-6;Wydawnictwo Lekarskie PZWL;2013;Medycyna;Dermatologia;Czytaj
43362;Detektywi z Dalslandu. Bandyci na odludziu;Pia Hagmar;978-83-7544-524-4;Rea;2009;Literatura dla dzieci i młodzieży;-;Czytaj
43349;Detektywi z Dalslandu. Niebezpieczne spotkanie;Pia Hagmar;978-83-7544-528-2;Rea;2010;Literatura dla dzieci i młodzieży;-;Czytaj
43347;Detektywi z Dalslandu. Straszny plan;Pia Hagmar;978-83-7544-526-8;Rea;2009;Literatura dla dzieci i młodzieży;-;Czytaj
43359;Detektywi z Dalslandu. Tajemnica śnieżnej zaspy;Pia Hagmar;978-83-7544-527-5;Rea;2010;Literatura dla dzieci i młodzieży;-;Czytaj
62582;Determinanty readaptacji społecznej skazanych;Anna Fidelus;978-83-7072-777-2;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2012;Nauki społeczne;Pedagogika;Czytaj
36804;Dialog chrześcijańsko-muzułmański. Historia i współczesność, zagrożenia i wyzwania t. 1;Redakcja: Czesław Łapicz, Magdalena Lewicka;978-83-231-2644-7;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2011;Nauki humanistyczne;Kulturoznawstwo;Czytaj
1308;Dobra intelektualne;Leonard Łukaszuk;978-83-7644-020-0;Łośgraf;2009;Prawo;Prawo własności intelektualnej;Czytaj
41832;Dobra krew;Magdalena Skopek;978-83-01-17242-8;Dom Wydawniczy PWN Sp. z o.o.;2012;Literatura piękna;Inne;Czytaj
950;Domeny internetowe;Maciej Dutko;978-83-01-15750-0;Wydawnictwo Naukowe PWN;2009;Informatyka;Internet;Czytaj
41732;Dorastanie w rodzinach z problemem alkoholowym;Iwona Grzegorzewska;978-83-7383-510-8;Wydawnictwo Naukowe Scholar;2011;Nauki społeczne;Psychologia;Czytaj
61397;Dowcipy językowe z dawnych czasów;Edward Stachurski;978-83-242-1819-6;Universitas;2011;Nauki humanistyczne;Filologia polska;Czytaj
